id,label,date_short,legacy_surface_gap_um,nearer_to_center_um,farther_to_center_um,distance_sum_um,distance_difference_um,cell_volume_um3,cell_radius_equiv_um,pron_volume_a_um3,pron_volume_b_um3,center_plot_x,center_plot_y,center_plot_z,near_plot_x,near_plot_y,near_plot_z,far_plot_x,far_plot_y,far_plot_z,z_scale,extract_error
20260425_zygote_p2_10,Z-P2-fov10,Apr 25,0.3,14.2699,16.426,30.6959,2.1561,288087.1,40.97,13387.0,8829.4,1018.37,1017.43,1040.47,977.27,1091.02,994.15,1061.71,1075.21,1126.9,7.0,
20260425_zygote_p2_12,Z-P2-fov12,Apr 25,19.76,22.3201,26.1727,48.4927,3.8526,285454.8,40.85,6194.2,5556.2,1054.03,996.95,1035.66,909.74,1032.48,1043.76,1179.08,1115.29,1005.93,7.0,
20260425_zygote_p2_13,Z-P2-fov13,Apr 25,25.05,27.8997,44.9931,72.8928,17.0933,273933.4,40.29,3454.6,2936.9,1110.12,1013.07,1059.06,975.75,1131.43,1111.91,838.13,932.54,956.64,7.0,
20260425_zygote_p2_14,Z-P2-fov14,Apr 25,2.06,11.3215,20.3636,31.6851,9.0421,272544.5,40.22,9123.1,6583.7,1040.93,1033.21,1019.53,1095.25,1068.74,979.1,1123.82,965.45,1107.18,7.0,
20260425_zygote_p2_16,Z-P2-fov16,Apr 25,22.99,25.0969,25.2835,50.3805,0.1866,261427.0,39.67,6115.7,4946.4,1069.14,951.87,1030.92,949.83,1056.15,1087.31,1233.26,951.91,990.59,7.0,
20260425_zygote_p2_17,Z-P2-fov17,Apr 25,31.31,27.9397,39.3809,67.3206,11.4412,315231.1,42.22,3946.3,3173.8,1125.54,955.26,1022.87,956.58,893.39,1073.43,1250.45,725.46,998.99,7.0,
20260425_zygote_p2_18_0,Z-P2-fov18_0,Apr 25,46.59,27.6204,42.9928,70.6132,15.3724,263265.1,39.76,3206.2,2546.6,894.56,916.83,1026.5,1011.02,1050.94,1077.5,911.55,639.48,1100.26,7.0,
20260425_zygote_p2_18_1,Z-P2-fov18_1,Apr 25,16.77,15.7461,25.239,40.9851,9.493,240896.9,38.6,6569.3,5593.0,1468.79,1218.76,1056.2,1571.3,1196.96,1062.48,1321.85,1298.72,1075.12,7.0,
20260425_zygote_p2_19_1,Z-P2-fov19_1,Apr 25,32.7,26.3296,27.2629,53.5925,0.9333,257564.9,39.47,4220.6,3813.8,1391.68,1091.46,1040.08,1566.78,1095.21,1052.5,1211.83,1113.29,1024.88,7.0,
20260425_zygote_p2_2,Z-P2-fov2,Apr 25,2.1,38.3841,44.5145,82.8986,6.1304,281774.9,40.67,3980.9,3733.9,1051.94,956.3,1037.43,1108.44,740.81,905.23,983.8,671.41,987.46,7.0,
20260425_zygote_p2_20,Z-P2-fov20,Apr 25,0.3,15.3471,22.6705,38.0176,7.3234,262188.0,39.7,10329.1,8822.9,1001.35,985.96,1044.65,1026.67,958.76,1144.74,1141.33,1037.32,1070.57,7.0,
20260425_zygote_p2_21,Z-P2-fov21,Apr 25,2.41,10.4397,14.5942,25.0339,4.1546,253141.9,39.24,8940.2,6328.8,957.84,970.98,1049.58,983.38,1020.85,1092.93,916.1,942.53,962.27,7.0,
20260425_zygote_p2_22_0,Z-P2-fov22_0,Apr 25,0.67,10.9796,12.6523,23.6319,1.6727,271553.8,40.17,10160.6,6609.6,628.88,1566.91,1062.8,579.2,1522.62,1030.82,643.41,1605.24,1140.2,7.0,
20260425_zygote_p2_22_1,Z-P2-fov22_1,Apr 25,27.75,28.0875,38.1722,66.2597,10.0847,247783.0,38.96,1877.0,1759.7,1416.44,445.4,1041.12,1245.1,369.95,1037.7,1327.35,594.08,1236.76,7.0,
20260425_zygote_p2_23,Z-P2-fov23,Apr 25,10.98,22.9839,27.8937,50.8776,4.9098,302413.7,41.64,7549.2,6498.0,1099.61,1104.75,1013.5,1221.63,1028.34,1068.57,1199.12,1260.59,1034.28,7.0,
20260425_zygote_p2_25_0,Z-P2-fov25_0,Apr 25,0.3,12.717,13.9618,26.6788,1.2449,268179.8,40.0,9339.8,5591.5,1043.46,1390.14,1119.77,1096.24,1326.79,1099.08,1070.83,1418.67,1208.25,7.0,
20260425_zygote_p2_26,Z-P2-fov26,Apr 25,0.3,8.0915,15.648,23.7394,7.5565,280915.9,40.63,11066.4,6893.3,1076.12,1075.34,1051.3,1077.97,1022.51,1040.0,988.06,1126.59,1074.83,7.0,
20260425_zygote_p2_4,Z-P2-fov4,Apr 25,1.34,15.2858,19.5482,34.834,4.2624,279796.3,40.57,12010.3,7879.0,1085.95,1119.0,1039.58,1157.23,1141.96,1112.15,1011.15,1060.98,1133.63,7.0,
20260425_zygote_p2_5,Z-P2-fov5,Apr 25,3.35,13.9389,25.3904,39.3293,11.4516,297660.2,41.42,5733.4,4140.0,1172.75,1133.79,1019.79,1228.55,1171.68,952.67,1288.58,1026.8,955.16,7.0,
20260425_zygote_p2_6,Z-P2-fov6,Apr 25,18.14,23.2933,27.8333,51.1266,4.54,291013.2,41.11,5737.0,3991.7,1036.78,959.7,1023.22,1082.68,1097.1,964.48,1172.11,935.34,1154.04,7.0,
20260425_zygote_p2_7_0,Z-P2-fov7_0,Apr 25,10.78,24.6732,25.7553,50.4284,1.0821,251039.5,39.13,3157.9,2952.7,903.21,1241.02,1014.91,889.67,1328.36,869.25,941.6,1406.22,1043.05,7.0,
20260425_zygote_p2_7_1,Z-P2-fov7_1,Apr 25,7.51,22.619,26.3898,49.0088,3.7708,281297.5,40.65,4746.2,3651.1,1378.31,823.88,1032.01,1496.34,732.72,1008.57,1529.22,898.71,1085.31,7.0,
20260425_zygote_p2_8_0,Z-P2-fov8_0,Apr 25,5.24,21.271,24.2515,45.5225,2.9805,274048.6,40.29,3293.3,2789.3,462.23,1708.65,1022.14,397.21,1653.63,1141.18,529.67,1708.76,1176.42,7.0,
20260425_zygote_p2_8_1,Z-P2-fov8_1,Apr 25,25.63,22.9039,40.988,63.8919,18.0841,255775.7,39.38,4168.1,3178.8,1455.87,521.59,1049.26,1400.74,528.63,899.94,1615.48,740.42,1011.29,7.0,
20260425_zygote_p2_9_0,Z-P2-fov9_0,Apr 25,24.82,19.6226,46.5457,66.1683,26.9231,287441.3,40.94,2983.0,2938.3,1000.6,1434.27,1011.45,1047.31,1362.22,1115.08,1295.64,1512.96,1069.41,7.0,
20260425_zygote_p2_9_1,Z-P2-fov9_1,Apr 25,27.3,22.1151,30.4731,52.5883,8.358,278447.8,40.51,5050.8,4425.8,1236.54,512.32,1027.64,1278.43,653.52,1020.59,1274.96,334.58,1122.73,7.0,
