id,label,date_short,distance_sum_um,nearer_to_center_um,farther_to_center_um,tau,qc,pron_min_distance_um,transcript_total,spread_rms,spread_axis0,spread_axis1,spread_axis2,aniso_01,aniso_02,planarity,blobsep_p95,blobsep_p98,blobsep_p99,blobsep_p99,blobsep_p95_norm,blobsep_p98_norm,blobsep_p99_norm,blobsep_p99_norm,blob_count_p98,top2_massfrac_p98,principal_bimodality,dnavol_p95,dnavol_p98,dnavol_p99,dnavol_p99,radial_0,radial_1,radial_2,radial_3,radial_4,radial_5,radial_6,radial_7,radial_8,radial_9,intensity_cv,intensity_p90_over_p50,dna_extent_rms
20251226_zygote_p1_1,Z-P1_1-fov1,Dec 26,69.4475,28.5278,40.9197,0.0,caution,38.98,158525,98.20950288396462,68.25457340669502,61.034673891604356,35.513212312195115,1.118291750188118,1.921948678838832,0.3739157675695048,220.53842338163952,95.44120229087495,92.65754398796352,92.65754398796352,2.2455914617205233,0.9718122841109101,0.9434682013813981,0.9434682013813981,3896.0,0.7626018038802319,0.3425548955852045,0.04999411305168263,0.019999912491308797,0.004999795813053857,0.004999795813053857,0.9999999999994849,0.9471083088218728,0.8215211369787425,0.7685988636723206,0.739800055248649,0.7182914629782529,0.7071416111506847,0.6925257176585894,0.6785473710129832,0.673176133142975,0.17233282327651978,1.125550627708435,98.20950288396462
20251226_zygote_p1_10,Z-P1_1-fov10,Dec 26,42.063,16.9184,25.1447,0.1405,pass,3.89,127694,94.49062838736116,63.48897620552333,61.99495142399022,32.46928935702113,1.0240991197366411,1.9553545983734297,0.465051783262945,209.6638915687872,91.85808801583286,135.4805135770603,135.4805135770603,2.2188855437641033,0.9721396567194375,1.433798403666701,1.433798403666701,6547.0,0.7176913591705228,0.30387798876564487,0.049994842290776,0.019999978785771828,0.004999795813053857,0.004999795813053857,0.9999999999997328,0.7463643723155581,0.5316585424784344,0.44407049128432585,0.39779391825597443,0.36662767724644285,0.3340557183246354,0.3094412191679683,0.287856544620516,0.27018610922021563,0.40744733810424805,1.4155946969985962,94.49062838736116
20251226_zygote_p1_2_2,Z-P1_1-fov2_2,Dec 26,47.2892,20.0002,27.289,0.0867,pass,2.73,162294,95.25298451867602,69.7322425142779,56.721807627969845,31.514789433861818,1.2293726910515428,2.212683046730732,0.36148296575237554,150.3615274644976,114.66341833040339,99.79812968028955,99.79812968028955,1.578549235446448,1.2037776843007364,1.0477165533118369,1.0477165533118369,6517.0,0.7943071752000478,0.42569691638527307,0.04999736148037127,0.01999958101899363,0.0049997295185908236,0.0049997295185908236,0.9999999999995585,0.8605070079943442,0.6980412779345326,0.5759109893005053,0.4725251528466992,0.4235861607127898,0.407258992878778,0.3702153368942371,0.3435314124516954,0.34351119152709986,0.47552070021629333,1.4687285423278809,95.25298451867602
20251226_zygote_p1_4,Z-P1_0-fov4,Dec 26,47.515,17.6347,29.8802,0.0867,pass,0.3,42297,106.18918923352449,75.93013834912365,64.9461714254071,35.95487195830143,1.1691241456350951,2.1118177343355775,0.38181543871274715,128.6306297327901,92.53355308264592,48.906989511401854,48.906989511401854,1.2113345007143745,0.8714027565249537,0.460564671449596,0.460564671449596,26080.0,0.6569123805166257,0.3905813451118451,0.049996897419130035,0.01999513928997039,0.0049997295185908236,0.0049997295185908236,0.999999999999751,0.8834483872036006,0.7838913746915475,0.6950158968872172,0.6289704630565981,0.5782804561073486,0.5687394528814569,0.5227058214107404,0.498618711275207,0.48786735307446233,0.2457820177078247,1.3603501319885254,106.18918923352449
20251226_zygote_p1_7,Z-P1_0-fov7,Dec 26,43.5624,16.3709,27.1916,0.14007,pass,17.64,181338,92.57122553043008,63.150868507393646,59.62549974181467,32.03434693429047,1.0591251682873781,1.9713486485484284,0.43690851801009417,143.28764916972048,67.040291344275,146.0029040678587,146.0029040678587,1.5478637859747797,0.7242022587033291,1.5771953072250213,1.5771953072250213,4882.0,0.7265251057397807,0.3137272577872504,0.0499926545734959,0.019999978785771828,0.004999530635201723,0.004999530635201723,0.9999999999996492,0.690821880390649,0.456772614521612,0.40896492006853097,0.3809503072108652,0.36201178490735747,0.3449812792546838,0.3313572242175205,0.3190725189546511,0.3108986135861399,0.375450074672699,1.2658032178878784,92.57122553043008
20251226_zygote_p1_8,Z-P1_0-fov8,Dec 26,49.8099,24.8939,24.916,0.05248,pass,28.01,140000,92.72535404363238,65.00629377328676,57.815848583562556,32.08583339950329,1.1243680451211167,2.0260122571190826,0.39580805633968524,109.00554708235654,55.5194470252619,103.42585029221426,103.42585029221426,1.1755743294923318,0.5987515173076118,1.115399884352524,1.115399884352524,6330.0,0.7029055409145907,0.352146142633528,0.049998024425001605,0.019998719190974193,0.004999530635201723,0.004999530635201723,0.9999999999997211,0.611807444390049,0.3901530938061987,0.330325080953078,0.2939256003347246,0.26617900274316475,0.25616708490239526,0.2363950787096562,0.2181218597583986,0.21327794882383008,0.4880523979663849,1.439280390739441,92.72535404363238
20260407_zygote_p1_0_1,Z-P1_1-fov0_1,Apr 7,37.1443,18.5136,18.6308,0.24187,pass,2.66,13780,78.76607938903616,62.296827709277196,41.89121856429589,23.839595778430738,1.4871094314564457,2.613166165865744,0.2897679249469872,101.29703041186309,113.12558521866897,117.31820205511306,117.31820205511306,1.2860488920045732,1.4362220978868905,1.489450807703809,1.489450807703809,190.0,0.9984851699128889,0.48231323051030983,0.0499930523402741,0.019999978785771828,0.004999994696442957,0.004999994696442957,0.9999999999994947,0.8020850078076426,0.6204670026714451,0.4410484246983717,0.3401506842216507,0.3046654627716167,0.28152169354446477,0.26139286692260894,0.25448899842345984,0.25290508719590726,0.75505530834198,1.4654027223587036,78.76607938903616
20260407_zygote_p1_0_2,Z-P1_1-fov0_2,Apr 7,44.0185,20.1462,23.8723,0.12697,pass,6.62,12683,78.76607938903616,62.296827709277196,41.89121856429589,23.839595778430738,1.4871094314564457,2.613166165865744,0.2897679249469872,101.29703041186309,113.12558521866897,117.31820205511306,117.31820205511306,1.2860488920045732,1.4362220978868905,1.489450807703809,1.489450807703809,190.0,0.9984851699128889,0.48231323051030983,0.0499930523402741,0.019999978785771828,0.004999994696442957,0.004999994696442957,0.9999999999994947,0.8020850078076426,0.6204670026714451,0.4410484246983717,0.3401506842216507,0.3046654627716167,0.28152169354446477,0.26139286692260894,0.25448899842345984,0.25290508719590726,0.75505530834198,1.4654027223587036,78.76607938903616
20260407_zygote_p1_1,Z-P1_1-fov1,Apr 7,32.2331,15.5291,16.704,0.37004,pass,3.86,7271,70.94930962080429,49.99984776075861,42.212674043063984,27.420975724867,1.1844747510019304,1.823416002370759,0.29583486120073943,156.8539537854681,166.6530452242362,23.755230287875996,23.755230287875996,2.2107889761436836,2.3489029529114123,0.3348197477892098,0.3348197477892098,4159.0,0.9804938206121042,0.41021629659125525,0.04998363852652336,0.019997592185102626,0.004999530635201723,0.004999530635201723,0.9999999999997199,0.44880037436572945,0.22647793464395902,0.1915781883839881,0.17574072537702828,0.16662792560880405,0.15781856477688336,0.14815867468966792,0.14407389872963966,0.1436514456219621,0.6170927286148071,1.2732939720153809,70.94930962080429
20260407_zygote_p1_10,Z-P1_0-fov10,Apr 7,26.9786,7.9274,19.0512,0.54753,caution,1.24,21238,73.15739544538457,53.24969638839442,42.57595661108388,26.528517892021235,1.2506987364749684,2.007262320415856,0.30136206412621097,129.50302605848572,54.423709509939485,24.081028930656405,24.081028930656405,1.7701973054107498,0.7439262761431011,0.3291673856741748,0.3291673856741748,4664.0,0.9621353526043755,0.36489758373230663,0.04998224634279965,0.019996200001378923,0.004999928401979924,0.004999928401979924,0.9999999999997372,0.40190874049508657,0.18241383993459873,0.15188830474120904,0.1374514329930265,0.12848910974561298,0.12252213916129062,0.115833242193948,0.11657284447720687,0.12522358665963015,0.8035227060317993,1.3501304388046265,73.15739544538457
